"Estado","Semana_Epidemiologica","Anio","n","fecha","year","epiweek","month","normalized_year"
"MORELOS",10,2016,46,"2016-03-06",2016,10,3,1
"TABASCO",10,2016,77,"2016-03-06",2016,10,3,1
"PUEBLA",10,2016,43,"2016-03-06",2016,10,3,1
"SINALOA",10,2016,33,"2016-03-06",2016,10,3,1
"NAYARIT",10,2016,82,"2016-03-06",2016,10,3,1
"YUCATÁN",10,2016,37,"2016-03-06",2016,10,3,1
"QUINTANA ROO",10,2016,33,"2016-03-06",2016,10,3,1
"MÉXICO",10,2016,23,"2016-03-06",2016,10,3,1
"COLIMA",10,2016,92,"2016-03-06",2016,10,3,1
"SONORA",10,2016,24,"2016-03-06",2016,10,3,1
"SAN LUIS POTOSÍ",10,2016,44,"2016-03-06",2016,10,3,1
"HIDALGO",10,2016,11,"2016-03-06",2016,10,3,1
"COAHUILA",10,2016,5,"2016-03-06",2016,10,3,1
"CAMPECHE",10,2016,20,"2016-03-06",2016,10,3,1
"AGUASCALIENTES",10,2016,0,"2016-03-06",2016,10,3,1
"BAJA CALIFORNIA",10,2016,11,"2016-03-06",2016,10,3,1
"BAJA CALIFORNIA SUR",10,2016,47,"2016-03-06",2016,10,3,1
"CHIHUAHUA",10,2016,1,"2016-03-06",2016,10,3,1
"CIUDAD DE MÉXICO",10,2016,0,"2016-03-06",2016,10,3,1
"DURANGO",10,2016,0,"2016-03-06",2016,10,3,1
"GUANAJUATO",10,2016,0,"2016-03-06",2016,10,3,1
"OAXACA",10,2016,49,"2016-03-06",2016,10,3,1
"QUERÉTARO",10,2016,2,"2016-03-06",2016,10,3,1
"TLAXCALA",10,2016,0,"2016-03-06",2016,10,3,1
"ZACATECAS",10,2016,0,"2016-03-06",2016,10,3,1
"NUEVO LEÓN",11,2016,211,"2016-03-13",2016,11,3,1
"VERACRUZ",11,2016,168,"2016-03-13",2016,11,3,1
"CHIAPAS",11,2016,122,"2016-03-13",2016,11,3,1
"GUERRERO",11,2016,165,"2016-03-13",2016,11,3,1
"MICHOACÁN",11,2016,60,"2016-03-13",2016,11,3,1
"TAMAULIPAS",11,2016,117,"2016-03-13",2016,11,3,1
"JALISCO",11,2016,107,"2016-03-13",2016,11,3,1
"MORELOS",11,2016,49,"2016-03-13",2016,11,3,1
"TABASCO",11,2016,51,"2016-03-13",2016,11,3,1
"PUEBLA",11,2016,21,"2016-03-13",2016,11,3,1
"NAYARIT",11,2016,101,"2016-03-13",2016,11,3,1
"SINALOA",11,2016,41,"2016-03-13",2016,11,3,1
"QUINTANA ROO",11,2016,55,"2016-03-13",2016,11,3,1
"YUCATÁN",11,2016,44,"2016-03-13",2016,11,3,1
"MÉXICO",11,2016,9,"2016-03-13",2016,11,3,1
"SONORA",11,2016,23,"2016-03-13",2016,11,3,1
"COLIMA",11,2016,66,"2016-03-13",2016,11,3,1
"SAN LUIS POTOSÍ",11,2016,94,"2016-03-13",2016,11,3,1
"HIDALGO",11,2016,7,"2016-03-13",2016,11,3,1
"COAHUILA",11,2016,2,"2016-03-13",2016,11,3,1
"CAMPECHE",11,2016,28,"2016-03-13",2016,11,3,1
"AGUASCALIENTES",11,2016,1,"2016-03-13",2016,11,3,1
"BAJA CALIFORNIA",11,2016,2,"2016-03-13",2016,11,3,1
"BAJA CALIFORNIA SUR",11,2016,40,"2016-03-13",2016,11,3,1
"CHIHUAHUA",11,2016,0,"2016-03-13",2016,11,3,1
"CIUDAD DE MÉXICO",11,2016,0,"2016-03-13",2016,11,3,1
"DURANGO",11,2016,0,"2016-03-13",2016,11,3,1
"GUANAJUATO",11,2016,0,"2016-03-13",2016,11,3,1
"OAXACA",11,2016,50,"2016-03-13",2016,11,3,1
"QUERÉTARO",11,2016,0,"2016-03-13",2016,11,3,1
"TLAXCALA",11,2016,0,"2016-03-13",2016,11,3,1
"ZACATECAS",11,2016,0,"2016-03-13",2016,11,3,1
"VERACRUZ",12,2016,54,"2016-03-20",2016,12,3,1
"NUEVO LEÓN",12,2016,41,"2016-03-20",2016,12,3,1
"CHIAPAS",12,2016,30,"2016-03-20",2016,12,3,1
"GUERRERO",12,2016,81,"2016-03-20",2016,12,3,1
"TAMAULIPAS",12,2016,16,"2016-03-20",2016,12,3,1
"MICHOACÁN",12,2016,33,"2016-03-20",2016,12,3,1
"JALISCO",12,2016,59,"2016-03-20",2016,12,3,1
"MORELOS",12,2016,11,"2016-03-20",2016,12,3,1
"TABASCO",12,2016,30,"2016-03-20",2016,12,3,1
"PUEBLA",12,2016,10,"2016-03-20",2016,12,3,1
"NAYARIT",12,2016,35,"2016-03-20",2016,12,3,1
"QUINTANA ROO",12,2016,21,"2016-03-20",2016,12,3,1
"SINALOA",12,2016,5,"2016-03-20",2016,12,3,1
"YUCATÁN",12,2016,9,"2016-03-20",2016,12,3,1
"MÉXICO",12,2016,10,"2016-03-20",2016,12,3,1
"SONORA",12,2016,14,"2016-03-20",2016,12,3,1
"COLIMA",12,2016,26,"2016-03-20",2016,12,3,1
"SAN LUIS POTOSÍ",12,2016,17,"2016-03-20",2016,12,3,1
"OAXACA",12,2016,44,"2016-03-20",2016,12,3,1
"HIDALGO",12,2016,8,"2016-03-20",2016,12,3,1
"COAHUILA",12,2016,2,"2016-03-20",2016,12,3,1
"CAMPECHE",12,2016,6,"2016-03-20",2016,12,3,1
"AGUASCALIENTES",12,2016,0,"2016-03-20",2016,12,3,1
"BAJA CALIFORNIA",12,2016,2,"2016-03-20",2016,12,3,1
"BAJA CALIFORNIA SUR",12,2016,16,"2016-03-20",2016,12,3,1
"CHIHUAHUA",12,2016,0,"2016-03-20",2016,12,3,1
"CIUDAD DE MÉXICO",12,2016,0,"2016-03-20",2016,12,3,1
"DURANGO",12,2016,0,"2016-03-20",2016,12,3,1
"GUANAJUATO",12,2016,0,"2016-03-20",2016,12,3,1
"QUERÉTARO",12,2016,0,"2016-03-20",2016,12,3,1
"TLAXCALA",12,2016,0,"2016-03-20",2016,12,3,1
"ZACATECAS",12,2016,0,"2016-03-20",2016,12,3,1
"VERACRUZ",13,2016,100,"2016-03-27",2016,13,3,1
"CHIAPAS",13,2016,65,"2016-03-27",2016,13,3,1
"NUEVO LEÓN",13,2016,123,"2016-03-27",2016,13,3,1
"GUERRERO",13,2016,86,"2016-03-27",2016,13,3,1
"TAMAULIPAS",13,2016,66,"2016-03-27",2016,13,3,1
"MICHOACÁN",13,2016,47,"2016-03-27",2016,13,3,1
"JALISCO",13,2016,84,"2016-03-27",2016,13,3,1
"MORELOS",13,2016,30,"2016-03-27",2016,13,3,1
"PUEBLA",13,2016,31,"2016-03-27",2016,13,3,1
"TABASCO",13,2016,47,"2016-03-27",2016,13,3,1
"NAYARIT",13,2016,60,"2016-03-27",2016,13,3,1
"QUINTANA ROO",13,2016,24,"2016-03-27",2016,13,3,1
"SINALOA",13,2016,27,"2016-03-27",2016,13,3,1
"YUCATÁN",13,2016,26,"2016-03-27",2016,13,3,1
"MÉXICO",13,2016,16,"2016-03-27",2016,13,3,1
"SONORA",13,2016,12,"2016-03-27",2016,13,3,1
"COLIMA",13,2016,50,"2016-03-27",2016,13,3,1
"SAN LUIS POTOSÍ",13,2016,17,"2016-03-27",2016,13,3,1
"OAXACA",13,2016,50,"2016-03-27",2016,13,3,1
